City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kismayo,-0.3582,-0.3582,80.1,77,22,17.74,SO,1693143757
1,zeya,53.75,53.75,53.22,63,96,3.22,RU,1693143758
2,hithadhoo,-0.6,-0.6,83.14,72,95,4.72,MV,1693143758
3,hazard,37.2495,37.2495,76.69,87,94,5.88,US,1693143758
4,grytviken,-54.2811,-54.2811,27.03,85,100,11.25,GS,1693143759
5,port mathurin,-19.6833,-19.6833,72.88,76,0,24.79,MU,1693143759
6,bratsk,56.1325,56.1325,59.49,91,75,2.84,RU,1693143760
7,jamestown,42.097,42.097,66.02,84,100,5.75,US,1693143760
8,petropavlovsk-kamchatsky,53.0452,53.0452,54.19,94,40,8.95,RU,1693143751
9,port-aux-francais,-49.35,-49.35,44.06,96,100,43.31,TF,1693143760
10,sao miguel do araguaia,-13.275,-13.275,91.98,40,84,1.25,BR,1693143761
11,maceio,-9.6658,-9.6658,81.84,83,75,9.22,BR,1693143676
12,adamstown,-25.066,-25.066,67.28,65,69,8.75,PN,1693143761
13,kavieng,-2.5744,-2.5744,80.76,83,99,11.45,PG,1693143762
14,kerikeri,-35.2268,-35.2268,48.9,91,62,3.2,NZ,1693143762
15,bethel,41.3712,41.3712,73.65,80,0,5.75,US,1693143762
16,waitangi,-43.9535,-43.9535,46.67,66,100,14.41,NZ,1693143763
17,ilulissat,69.2167,69.2167,48.22,66,75,13.8,GL,1693143763
18,blackmans bay,-43.0167,-43.0167,40.53,92,0,3.27,AU,1693143763
19,srandakan,-7.9386,-7.9386,71.94,88,3,3.67,ID,1693143763
20,ancud,-41.8697,-41.8697,44.78,77,100,13.56,CL,1693143764
21,ust-nera,64.5667,64.5667,52.12,83,100,3.36,RU,1693143764
22,albany,42.6001,42.6001,66.56,84,49,5.53,US,1693143764
23,ghanzi,-21.5667,-21.5667,78.82,7,100,11.36,BW,1693143765
24,pierre,44.3683,44.3683,61.72,82,0,10.36,US,1693143765
25,luderitz,-26.6481,-26.6481,81.61,25,0,6.38,NA,1693143609
26,lata,40.1629,40.1629,72.07,29,42,13.24,PT,1693143766
27,yulinshi,38.2906,38.2906,60.39,82,13,4.97,CN,1693143766
28,lensk,60.7253,60.7253,59.5,66,2,3.8,RU,1693143767
29,aitape,-3.1374,-3.1374,79.5,90,59,8.3,PG,1693143767
30,la ronge,55.1001,55.1001,59.25,82,20,8.05,CA,1693143767
31,cestos city,5.46,5.46,80.28,81,100,12.33,LR,1693143768
32,hamilton,39.1834,39.1834,68.97,85,100,11.5,US,1693143768
33,stepnoye,51.4,51.4,70.84,48,30,11.32,RU,1693143769
34,teplodar,46.5059,46.5059,91.78,29,0,15.7,UA,1693143769
35,prince rupert,54.3161,54.3161,55.09,100,40,3.44,CA,1693143769
36,thompson,55.7435,55.7435,57.36,100,100,4.61,CA,1693143769
37,san luis de la loma,17.2706,17.2706,79.84,79,21,4.03,MX,1693143770
38,zhezqazghan,47.7833,47.7833,66.78,45,40,20.13,KZ,1693143770
39,bayanhongor,46.7167,46.7167,53.78,50,12,1.52,MN,1693143771
40,sinabang,2.4803,2.4803,80.64,76,94,2.8,ID,1693143771
41,bilibino,68.0546,68.0546,46.13,93,100,0.98,RU,1693143771
42,nadi,-17.8,-17.8,71.6,73,40,9.22,FJ,1693143771
43,yelizovo,53.1873,53.1873,55.54,93,40,8.99,RU,1693143772
44,college,64.8569,64.8569,61.9,78,100,1.99,US,1693143772
45,iqaluit,63.7506,63.7506,40.73,75,75,18.41,CA,1693143609
46,whitby,54.4877,54.4877,63.32,78,30,4.0,GB,1693143773
47,stanley,54.868,54.868,64.27,94,40,3.44,GB,1693143773
48,chibougamau,49.9168,49.9168,55.02,67,0,6.91,CA,1693143773
49,port elizabeth,-33.918,-33.918,65.1,59,0,9.22,ZA,1693143774
50,vilyuchinsk,52.9306,52.9306,55.67,81,100,2.91,RU,1693143774
51,eyl,7.9803,7.9803,83.79,61,15,27.89,SO,1693143774
52,al bawiti,28.3492,28.3492,102.6,19,0,10.04,EG,1693143775
53,colonia,50.9333,50.9333,74.95,54,20,8.05,DE,1693143603
54,orcopampa,-15.2661,-15.2661,51.89,18,0,1.95,PE,1693143776
55,tyukhtet,56.5389,56.5389,62.06,87,100,6.76,RU,1693143776
56,pandan,14.0453,14.0453,82.31,78,100,20.56,PH,1693143776
57,chipinge,-20.1883,-20.1883,52.77,85,100,6.98,ZW,1693143777
58,ca mau,9.1769,9.1769,82.56,76,99,8.48,VN,1693143669
59,west bay,19.3667,19.3667,84.27,90,75,11.5,KY,1693143777
60,keflavik,64.0049,64.0049,57.11,82,75,16.11,IS,1693143778
61,nadym,65.5333,65.5333,54.14,69,92,3.94,RU,1693143741
62,puerto natales,-51.7236,-51.7236,37.67,95,94,4.12,CL,1693143536
63,san antonio de pale,-1.4014,-1.4014,75.31,84,65,15.01,GQ,1693143778
64,ushuaia,-54.8,-54.8,42.46,61,0,5.75,AR,1693143756
65,edinburgh of the seven seas,-37.0676,-37.0676,55.26,90,100,10.76,SH,1693143779
66,isafjordur,66.0755,66.0755,59.04,47,20,5.75,IS,1693143779
67,cumbal,0.9088,0.9088,41.11,87,0,0.0,CO,1693143780
68,gobabis,-22.45,-22.45,78.1,7,39,15.55,NA,1693143780
69,invercargill,-46.4,-46.4,35.02,93,50,4.0,NZ,1693143771
70,whitehorse,60.7161,60.7161,56.8,71,20,8.05,CA,1693143682
71,guajara mirim,-10.7828,-10.7828,77.16,78,40,10.36,BR,1693143781
72,the dalles,45.5946,45.5946,72.21,70,0,3.0,US,1693143782
73,avarua,-21.2078,-21.2078,71.65,73,20,6.91,CK,1693143782
74,udachny,66.4167,66.4167,68.45,45,51,6.51,RU,1693143783
75,kodiak,57.79,57.79,54.91,88,75,0.0,US,1693143783
76,charters towers,-20.1,-20.1,57.45,86,0,7.27,AU,1693143784
77,nuuk,64.1835,64.1835,43.41,93,75,24.16,GL,1693143784
78,lebu,-37.6167,-37.6167,50.83,63,4,7.65,CL,1693143784
79,kamenka,51.3223,51.3223,72.34,61,54,10.96,RU,1693143784
80,bedele,8.456,8.456,69.4,78,25,2.08,ET,1693143785
81,tiksi,71.6872,71.6872,49.71,97,63,1.48,RU,1693143785
82,villanueva,15.3167,15.3167,79.03,83,40,5.75,HN,1693143786
83,cartagena del chaira,1.3349,1.3349,82.2,70,8,1.81,CO,1693143786
84,pasaje,-3.3333,-3.3333,74.91,64,11,4.65,EC,1693143786
85,chonchi,-42.6128,-42.6128,45.12,82,100,8.08,CL,1693143787
86,swakopmund,-22.6833,-22.6833,68.85,81,5,8.01,NA,1693143787
87,wailua homesteads,22.0669,22.0669,79.59,82,75,13.8,US,1693143788
88,aral,40.5156,40.5156,87.4,13,100,5.97,CN,1693143788
89,saint-joseph,-21.3667,-21.3667,75.58,80,47,10.0,RE,1693143788
